filename,pass,forwardresult,backresult,profit,expectedpayoff,profitfactor,recoveryfactor,sharperatio,custom,equityddpercent,trades,slatrmultiplier,tpatrmultiplier,takeprofitpercent,rsibuybelow,rsisellabove,maxdrawdown,winrate,symbol,timeframe,is_start,is_end,oos_start,oos_end
XAUUSD_M15_set_171.set,4057.0,81.94,38.69,1083.02,19.691273,1.505336,2.175045,9.758663,0,4.6845,55,2.0,2.0,82,29,73,4.6845,81.94,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_172.set,41.0,81.9,37.87,859.49,16.216792,1.466187,2.824111,5.44034,0,3.0343,53,4.0,4.4,64,37,74,3.0343,81.9,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_173.set,925.0,81.88,86.57,1324.13,18.649718,1.445507,2.051388,7.692191,0,5.5535,71,2.8,4.2,58,33,60,5.5535,81.88,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_174.set,4248.0,81.75,84.98,909.71,13.995538,1.367742,2.320274,8.376354,0,3.536,65,2.0,2.0,69,25,66,3.536,81.75,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_175.set,873.0,81.53,83.76,885.89,11.073625,1.352583,2.278934,8.743224,0,3.8131,80,2.0,2.0,50,27,66,3.8131,81.53,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_176.set,968.0,81.51,93.43,930.53,14.770317,1.433656,2.09169,5.771412,0,4.3896,63,3.8,4.1,61,33,64,4.3896,81.51,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_177.set,1140.0,81.37,92.94,919.62,13.327826,1.39243,2.157163,5.78559,0,4.2064,69,3.8,4.1,58,32,64,4.2064,81.37,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_178.set,1342.0,81.34,82.44,1207.16,15.280506,1.400325,2.113264,9.397376,0,4.9341,79,2.0,2.0,69,38,67,4.9341,81.34,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_179.set,4295.0,81.3,84.83,898.81,13.026232,1.436754,2.019435,10.205432,0,4.4187,69,2.0,2.0,50,27,69,4.4187,81.3,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_180.set,3183.0,81.28,90.1,1248.05,24.961,1.592521,2.694059,6.625825,0,4.5847,50,3.6,4.7,78,38,66,4.5847,81.28,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_181.set,899.0,81.1,94.09,842.23,10.661139,1.326827,2.31204,8.761501,0,3.3763,79,2.0,2.0,50,20,61,3.3763,81.1,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_182.set,3069.0,80.81,53.07,1811.71,33.550185,1.60371,3.278104,8.8807,0,5.0216,54,2.0,3.5,91,27,63,5.0216,80.81,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_183.set,1073.0,80.71,84.06,1176.0,17.294118,1.383322,2.204435,8.151432,0,4.8647,68,2.0,3.2,60,30,65,4.8647,80.71,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_184.set,875.0,80.64,90.34,1253.26,17.903714,1.397105,2.151298,8.036999,0,5.2208,70,2.4,4.2,55,33,62,5.2208,80.64,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_185.set,33.0,80.59,85.13,1320.91,17.380395,1.383013,2.158844,6.689135,0,5.9926,76,2.3,2.4,94,40,63,5.9926,80.59,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_186.set,1299.0,80.55,87.09,1509.42,17.1525,1.414951,2.01689,9.346702,0,6.4684,88,2.0,2.0,80,34,62,6.4684,80.55,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_187.set,771.0,80.5,86.87,1316.13,17.3175,1.382655,2.151031,6.73023,0,5.9926,76,2.3,2.4,95,40,63,5.9926,80.5,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_188.set,1066.0,80.48,91.11,796.24,9.258605,1.329003,2.230239,6.925896,0,3.4001,86,3.0,2.3,57,29,62,3.4001,80.48,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_189.set,1461.0,80.36,61.63,1715.54,32.368679,1.596255,2.755445,7.915025,0,5.5887,53,2.0,5.1,59,23,62,5.5887,80.36,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_190.set,705.0,80.11,50.14,731.68,13.54963,1.517037,2.040152,4.671745,0,3.5735,54,5.0,2.8,93,39,69,3.5735,80.11,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_191.set,670.0,79.94,81.45,1055.35,16.236154,1.37316,2.157342,7.345508,0,4.7641,65,2.0,2.0,98,22,62,4.7641,79.94,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_192.set,290.0,79.7,76.5,481.61,7.644603,1.359236,2.147839,4.563895,0,2.1543,63,5.9,3.2,60,38,76,2.1543,79.7,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_193.set,1267.0,79.64,95.38,1103.21,20.058364,1.463791,2.126424,5.262046,0,5.1086,55,3.8,4.1,89,40,61,5.1086,79.64,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_194.set,699.0,79.53,84.6,1287.72,14.468764,1.349461,2.103362,8.3587,0,5.4279,89,2.0,2.0,77,35,62,5.4279,79.53,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_195.set,,79.2,75.13,1463.82,28.702353,1.557563,2.908907,8.822682,0,4.5487,51,2.0,4.6,59,24,66,4.5487,79.2,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_196.set,,79.09,83.65,1146.92,13.818313,1.356497,2.042891,8.643982,0,4.8816,83,2.0,2.0,69,38,66,4.8816,79.09,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_197.set,4301.0,78.9,60.6,1078.49,21.146863,1.562138,2.118924,9.943209,0,4.755,51,2.0,2.0,81,29,72,4.755,78.9,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_198.set,4291.0,78.14,21.48,1636.59,31.472885,1.600564,2.877723,7.861698,0,5.6175,52,2.0,4.0,74,36,79,5.6175,78.14,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_199.set,3397.0,78.0,36.29,1003.85,19.304808,1.460676,2.27064,9.540917,0,3.9975,52,2.0,2.0,90,28,73,3.9975,78.0,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_200.set,1010.0,77.68,93.49,791.46,11.812836,1.315618,2.044535,5.041905,0,3.5327,67,3.6,4.4,54,33,63,3.5327,77.68,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_201.set,3218.0,77.56,75.91,1352.78,21.472698,1.408743,2.217818,7.042919,0,5.3621,63,2.0,3.6,69,31,62,5.3621,77.56,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_202.set,2021.0,77.41,73.21,935.28,15.085161,1.335055,2.075771,7.171168,0,4.209,62,2.0,2.0,98,25,65,4.209,77.41,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_203.set,810.0,77.34,89.41,725.93,10.998939,1.304547,2.042802,5.432565,0,3.3439,66,3.4,3.6,60,27,63,3.3439,77.34,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_204.set,1086.0,76.53,97.55,632.38,10.903103,1.33985,2.039278,4.088833,0,2.9806,58,5.1,5.5,52,38,63,2.9806,76.53,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_205.set,,76.47,77.28,1280.99,24.169623,1.467073,2.344461,7.363835,0,4.7353,53,2.0,3.6,70,24,66,4.7353,76.47,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_206.set,,75.85,99.34,562.79,10.618679,1.36677,2.224554,3.950256,0,2.3886,53,5.4,5.2,51,26,61,2.3886,75.85,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_207.set,1177.0,73.83,75.79,1862.54,34.491481,1.581909,2.488563,8.729561,0,6.3558,54,2.0,4.6,80,31,60,6.3558,73.83,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_208.set,1103.0,70.0,25.43,1444.53,28.8906,1.542487,2.169974,7.050889,0,5.8358,50,2.0,3.6,80,35,77,5.8358,70.0,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_209.set,2755.0,69.37,72.6,1895.2,37.160784,1.622438,2.083004,8.744373,0,7.3974,51,2.0,5.1,72,34,63,7.3974,69.37,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_210.set,,68.61,71.98,1949.42,38.9884,1.646308,2.189867,8.406419,0,7.258,50,2.0,4.4,87,34,63,7.258,68.61,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
